 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  11.12.2021    Time:  14: 2:47
 Units: L = cm   , T = days , M = ng   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

 101  -100.0000    -100.000 0.1222   0.4899E-02  0.5046E-03 -0.4899E-02  0.0000E+00      -1  -0.462E-04   20.00  0.0000E+00  0.0000E+00
end


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -45.385 0.1765   0.1243E+00  0.2014E-02 -0.1470E+00  0.0000E+00      -1  -0.139E-02   20.00  0.1540E+01  0.0000E+00
   2    -1.0000     -45.579 0.1761   0.1212E+00  0.1995E-02 -0.1462E+00  0.0000E+00      -1  -0.138E-02   20.00  0.1508E+01  0.0000E+00
   3    -2.0000     -45.799 0.1756   0.1178E+00  0.1975E-02 -0.1452E+00  0.0000E+00      -1  -0.137E-02   20.00  0.1475E+01  0.0000E+00
   4    -3.0000     -46.047 0.1751   0.1141E+00  0.1953E-02 -0.1440E+00  0.0000E+00      -1  -0.136E-02   20.00  0.1443E+01  0.0000E+00
   5    -4.0000     -46.327 0.1745   0.1100E+00  0.1928E-02 -0.1427E+00  0.0000E+00      -1  -0.134E-02   20.00  0.1412E+01  0.0000E+00
   6    -5.0000     -46.645 0.1738   0.1055E+00  0.1901E-02 -0.1411E+00  0.0000E+00      -1  -0.133E-02   20.00  0.1380E+01  0.0000E+00
   7    -6.0000     -47.008 0.1730   0.1003E+00  0.1871E-02 -0.1395E+00  0.0000E+00      -1  -0.131E-02   20.00  0.1349E+01  0.0000E+00
   8    -7.0000     -47.432 0.1720   0.9449E-01  0.1836E-02 -0.1380E+00  0.0000E+00      -1  -0.130E-02   20.00  0.1318E+01  0.0000E+00
   9    -8.0000     -47.900 0.1713   0.9234E-01  0.1813E-02 -0.1364E+00  0.0000E+00      -1  -0.129E-02   20.00  0.1287E+01  0.0000E+00
  10    -9.0000     -48.388 0.1706   0.9009E-01  0.1790E-02 -0.1348E+00  0.0000E+00      -1  -0.127E-02   20.00  0.1257E+01  0.0000E+00
  11   -10.0000     -48.895 0.1698   0.8775E-01  0.1765E-02 -0.1331E+00  0.0000E+00      -1  -0.125E-02   20.00  0.1226E+01  0.0000E+00
  12   -11.0000     -49.423 0.1690   0.8530E-01  0.1739E-02 -0.1313E+00  0.0000E+00      -1  -0.124E-02   20.00  0.1196E+01  0.0000E+00
  13   -12.0000     -49.975 0.1682   0.8273E-01  0.1713E-02 -0.1294E+00  0.0000E+00      -1  -0.122E-02   20.00  0.1166E+01  0.0000E+00
  14   -13.0000     -50.552 0.1673   0.8005E-01  0.1684E-02 -0.1273E+00  0.0000E+00      -1  -0.120E-02   20.00  0.1137E+01  0.0000E+00
  15   -14.0000     -51.157 0.1664   0.7723E-01  0.1655E-02 -0.1251E+00  0.0000E+00      -1  -0.118E-02   20.00  0.1107E+01  0.0000E+00
  16   -15.0000     -51.793 0.1654   0.7427E-01  0.1624E-02 -0.1227E+00  0.0000E+00      -1  -0.116E-02   20.00  0.1078E+01  0.0000E+00
  17   -16.0000     -52.463 0.1644   0.7115E-01  0.1591E-02 -0.1201E+00  0.0000E+00      -1  -0.113E-02   20.00  0.1048E+01  0.0000E+00
