	Time	cvTop	cvBot	Sum(cvTop)	Sum(cvBot)	cvCh0	cvCh1	cTop	cRoot	cBot	cvRoot	Sum(cvRoot)	Sum(cvNEql)	TLevel	cGWL	cRunOff	Sum(cRunOff)	"(cv(i),"	"Sum(cv(i)),"	"i=1,NObs)"
	[T]	[M/L2/T]	[M/L2/T]	[M/L2]	[M/L2]	[M/L2]	[M/L2]	[M/L3]	[M/L3]	[M/L3]	[M/L2/T]	[M/L2]	[M/L2]	[M/L3]	[M/L2]	[M/L3]	[M/L2/T]	[M/L2]		
	7.1714	1.47E+01	0.00E+00	1.05E+02	0.00E+00	0.00E+00	0.00E+00	1.09E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	67	0.00E+00	0.00E+00	0.00E+00			
	7.3287	1.47E+01	0.00E+00	1.08E+02	0.00E+00	0.00E+00	0.00E+00	1.11E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	68	0.00E+00	0.00E+00	0.00E+00			
	7.4861	1.47E+01	0.00E+00	1.10E+02	0.00E+00	0.00E+00	0.00E+00	1.12E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	69	0.00E+00	0.00E+00	0.00E+00			
	7.6435	1.47E+01	0.00E+00	1.12E+02	0.00E+00	0.00E+00	0.00E+00	1.13E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	70	0.00E+00	0.00E+00	0.00E+00			
	7.8009	1.47E+01	0.00E+00	1.15E+02	0.00E+00	0.00E+00	0.00E+00	1.14E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	71	0.00E+00	0.00E+00	0.00E+00			
	7.9583	1.47E+01	0.00E+00	1.17E+02	0.00E+00	0.00E+00	0.00E+00	1.15E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	72	0.00E+00	0.00E+00	0.00E+00			
	8.1156	1.47E+01	0.00E+00	1.19E+02	0.00E+00	0.00E+00	0.00E+00	1.16E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	73	0.00E+00	0.00E+00	0.00E+00			
	8.325	1.47E+01	0.00E+00	1.22E+02	0.00E+00	0.00E+00	0.00E+00	1.17E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	74	0.00E+00	0.00E+00	0.00E+00			
	8.5344	1.47E+01	0.00E+00	1.25E+02	0.00E+00	0.00E+00	0.00E+00	1.18E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	75	0.00E+00	0.00E+00	0.00E+00			
	8.7438	1.47E+01	0.00E+00	1.29E+02	0.00E+00	0.00E+00	0.00E+00	1.19E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	76	0.00E+00	0.00E+00	0.00E+00			
	8.9531	1.47E+01	0.00E+00	1.32E+02	0.00E+00	0.00E+00	0.00E+00	1.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	77	0.00E+00	0.00E+00	0.00E+00			
	9.1625	1.47E+01	0.00E+00	1.35E+02	0.00E+00	0.00E+00	0.00E+00	1.21E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	78	0.00E+00	0.00E+00	0.00E+00			
	9.3719	1.47E+01	0.00E+00	1.38E+02	0.00E+00	0.00E+00	0.00E+00	1.22E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	79	0.00E+00	0.00E+00	0.00E+00			
	9.5813	1.47E+01	0.00E+00	1.41E+02	0.00E+00	0.00E+00	0.00E+00	1.23E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	80	0.00E+00	0.00E+00	0.00E+00			
	9.7906	1.47E+01	0.00E+00	1.44E+02	0.00E+00	0.00E+00	0.00E+00	1.24E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	81	0.00E+00	0.00E+00	0.00E+00			
	10	1.47E+01	0.00E+00	1.47E+02	0.00E+00	0.00E+00	0.00E+00	1.25E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	82	0.00E+00	0.00E+00	0.00E+00			
	10.2046	1.47E+01	0.00E+00	1.50E+02	0.00E+00	0.00E+00	0.00E+00	1.26E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	83	0.00E+00	0.00E+00	0.00E+00			
	10.4092	1.47E+01	0.00E+00	1.53E+02	0.00E+00	0.00E+00	0.00E+00	1.27E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	84	0.00E+00	0.00E+00	0.00E+00			
	10.6138	1.47E+01	0.00E+00	1.56E+02	0.00E+00	0.00E+00	0.00E+00	1.28E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	85	0.00E+00	0.00E+00	0.00E+00			
	10.8184	1.47E+01	0.00E+00	1.59E+02	0.00E+00	0.00E+00	0.00E+00	1.29E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	86	0.00E+00	0.00E+00	0.00E+00			
	11.023	1.47E+01	0.00E+00	1.62E+02	0.00E+00	0.00E+00	0.00E+00	1.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	87	0.00E+00	0.00E+00	0.00E+00			
	11.2276	1.47E+01	0.00E+00	1.65E+02	0.00E+00	0.00E+00	0.00E+00	1.31E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	88	0.00E+00	0.00E+00	0.00E+00			
	11.4322	1.47E+01	0.00E+00	1.68E+02	0.00E+00	0.00E+00	0.00E+00	1.32E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	89	0.00E+00	0.00E+00	0.00E+00			
